city,state,total_records,avg_arrival_delay,max_arrival_delay
Steinau an der Straße,Hessen,265,6.17,63.0
Flieden,Hessen,233,5.79,53.0
Langenselbold,Hessen,475,5.28,95.0
St. Goar,Rheinland-Pfalz,324,5.12,46.0
Neuhof,Hessen,296,4.99,54.0
Bad Soden-Salmünster,Hessen,323,4.98,53.0
Prenzlau,Brandenburg,270,4.94,75.0
Schlüchtern,Hessen,386,4.73,63.0
Sonthofen,Bayern,473,4.7,41.0
Rodenbach,Hessen,244,4.69,57.0
Teisendorf,Bayern,297,4.67,64.0
Parsberg,Bayern,190,4.65,23.0
Varel ,Niedersachsen,264,4.46,38.0
Wächtersbach,Hessen,437,4.43,62.0
Beratzhausen,Bayern,190,4.39,23.0
Weißenthurm,Rheinland-Pfalz,523,4.28,66.0
Mülheim-Kärlich,Rheinland-Pfalz,541,4.28,66.0
Jüchen,Nordrhein-Westfalen,430,4.26,78.0
Übersee,Bayern,327,4.16,59.0
Fischen,Bayern,449,4.05,55.0
Oberwesel,Rheinland-Pfalz,561,4.05,53.0
Bornheim,Nordrhein-Westfalen,732,3.97,69.0
Pulheim-Stommeln,Nordrhein-Westfalen,537,3.94,77.0
Brohl,Rheinland-Pfalz,297,3.85,51.0
Hasselroth,Hessen,289,3.78,54.0
Bacharach,Rheinland-Pfalz,466,3.78,34.0
Remagen,Rheinland-Pfalz,1303,3.65,68.0
Immenstadt,Bayern,936,3.63,38.0
Gelnhausen,Hessen,936,3.61,53.0
Pulheim,Nordrhein-Westfalen,534,3.55,77.0
Bad Breisig,Rheinland-Pfalz,539,3.53,65.0
Leutesdorf ,Rheinland-Pfalz,285,3.53,74.0
Zwingenberg,Hessen,760,3.52,62.0
Borken (Hessen),Hessen,312,3.5,79.0
Sylt/ OT Morsum,Schleswig-Holstein,371,3.49,62.0
Boppard,Rheinland-Pfalz,953,3.47,32.0
Rommerskirchen,Nordrhein-Westfalen,517,3.47,76.0
Osterhofen ,Bayern,274,3.47,53.0
Bönen,Nordrhein-Westfalen,464,3.45,89.0
Bernau a. Chiemsee,Bayern,326,3.43,59.0
Ibbenbüren-Laggenbeck,Nordrhein-Westfalen,376,3.41,110.0
Uffing am Staffelsee,Bayern,313,3.38,35.0
Erndtebrück,Nordrhein-Westfalen,325,3.32,51.0
Heddesheim,Baden-Württemberg,815,3.31,57.0
Vilshofen an der Donau,Bayern,284,3.29,54.0
St. Augustin,Nordrhein-Westfalen,360,3.28,76.0
Oberndorf ,Baden-Württemberg,215,3.27,25.0
Neustadt/Hessen,Hessen,382,3.26,60.0
Hörstel,Nordrhein-Westfalen,386,3.24,110.0
Triberg,Baden-Württemberg,164,3.23,72.0
Ladenburg,Baden-Württemberg,1085,3.22,56.0
Möckmühl,Baden-Württemberg,500,3.19,68.0
Bad Bentheim,Niedersachsen,362,3.19,80.0
Alsbach-Hähnlein,Hessen,540,3.18,40.0
Hemsbach,Baden-Württemberg,1036,3.17,57.0
Malsch,Baden-Württemberg,588,3.17,36.0
Sinzig ,Rheinland-Pfalz,537,3.15,65.0
Ennepetal,Nordrhein-Westfalen,720,3.15,88.0
Pfaffenhofen a.d.Ilm,Bayern,539,3.14,69.0
Wörth an der Isar,Bayern,273,3.13,40.0
Stadtallendorf,Hessen,420,3.12,60.0
Ubstadt-Weiher,Baden-Württemberg,588,3.12,36.0
Hornberg,Baden-Württemberg,322,3.11,59.0
Linz ,Rheinland-Pfalz,343,3.1,75.0
Meschede,Nordrhein-Westfalen,534,3.08,64.0
Luckenwalde,Brandenburg,474,3.03,53.0
Laudenbach (Bergstr),Baden-Württemberg,818,3.03,57.0
Schwelm,Nordrhein-Westfalen,1092,3.02,88.0
Hirschhorn (Neckar),Hessen,500,3.01,59.0
Rohrbach an der Ilm,Bayern,532,3.0,63.0
Voerde (Niederrhein),Nordrhein-Westfalen,906,2.99,47.0
Bickenbach,Hessen,759,2.98,41.0
Neckargerach,Baden-Württemberg,496,2.96,59.0
Bramsche,Niedersachsen,555,2.95,51.0
Weinheim,Baden-Württemberg,1977,2.95,57.0
Schwalmstadt-Treysa,Hessen,338,2.94,59.0
Reutlingen,Baden-Württemberg,1343,2.93,48.0
Treis-Karden,Rheinland-Pfalz,738,2.93,35.0
Neufahrn in Niederbayern,Bayern,719,2.91,43.0
Sylt/ OT Keitum,Schleswig-Holstein,363,2.89,61.0
Groß Umstadt,Hessen,558,2.87,59.0
Brühl,Nordrhein-Westfalen,951,2.87,69.0
Bonn,Nordrhein-Westfalen,3618,2.84,76.0
Lunden,Schleswig-Holstein,249,2.84,47.0
Veitshöchheim,Bayern,264,2.84,39.0
Friedrichstadt,Schleswig-Holstein,262,2.84,47.0
Kirchhain,Hessen,469,2.82,59.0
Wabern,Hessen,444,2.81,79.0
Sangerhausen,Sachsen-Anhalt,515,2.8,60.0
